latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
25.16905,52.88409,308.04,2.43,1.5,2022-02-23,1804,Terra,MODIS,58,6.1NRT,291.86,30.84,N
25.16442,52.86063,316.13,2.44,1.51,2022-02-23,1804,Terra,MODIS,90,6.1NRT,291.93,53.6,N
25.15444,52.86995,311.04,1.89,1.34,2022-02-25,1015,Aqua,MODIS,46,6.1NRT,297.33,23.06,D
25.16739,52.87181,323.42,1.05,1.02,2022-03-23,1828,Terra,MODIS,100,6.1NRT,293.51,21.59,N
25.16781,52.88306,307.31,1.55,1.23,2022-03-24,2201,Aqua,MODIS,53,6.1NRT,293.73,13.2,N
25.16499,52.87083,312.54,1.3,1.13,2022-03-25,0718,Terra,MODIS,34,6.1NRT,298.13,10.81,D
25.16281,52.88353,318.13,1.31,1.13,2022-03-25,0718,Terra,MODIS,64,6.1NRT,296.87,17.93,D
25.16975,52.87334,311.42,2.6,1.55,2022-03-26,2148,Aqua,MODIS,75,6.1NRT,292.01,42.48,N
25.16857,52.87792,323.34,1.24,1.1,2022-03-28,1847,Terra,MODIS,100,6.1NRT,292.93,28.07,N
25.16074,52.88268,319.13,1.15,1.07,2022-03-29,0654,Terra,MODIS,67,6.1NRT,295.06,18.54,D
25.16461,52.86544,314.31,1.62,1.25,2022-04-01,0724,Terra,MODIS,61,6.1NRT,296.52,19.68,D
25.16178,52.88123,320.18,1.63,1.26,2022-04-01,0724,Terra,MODIS,72,6.1NRT,297.36,30.42,D
25.15569,52.86554,317.87,1.2,1.09,2022-04-17,1821,Terra,MODIS,95,6.1NRT,294.71,17.91,N
25.17236,52.85972,309,3.75,1.81,2022-04-20,2142,Aqua,MODIS,64,6.1NRT,292.69,53.93,N
25.16959,52.89669,320.29,3.73,1.81,2022-04-20,2142,Aqua,MODIS,100,6.1NRT,293.07,115.93,N
25.16075,52.89093,323.04,3.73,1.81,2022-04-20,2142,Aqua,MODIS,100,6.1NRT,293.31,136.41,N
25.16169,52.87455,311.27,2.02,1.39,2022-04-21,1017,Aqua,MODIS,46,6.1NRT,297.63,21.56,D
25.16348,52.88104,309.99,1,1,2022-05-01,1834,Terra,MODIS,69,6.1NRT,297.99,6.86,N
25.16571,52.87461,314.88,1.05,1.02,2022-05-02,0956,Aqua,MODIS,62,6.1NRT,297.46,9.81,D
25.16549,52.88276,328.76,1.65,1.26,2022-05-03,0724,Terra,MODIS,82,6.1NRT,299.33,44.97,D
25.16692,52.87651,326.33,1.65,1.26,2022-05-03,0724,Terra,MODIS,79,6.1NRT,299.33,38.61,D
25.16405,52.8926,311.72,1.66,1.27,2022-05-03,0724,Terra,MODIS,24,6.1NRT,297.96,9.91,D
25.16786,52.87294,309.86,1.97,1.37,2022-05-03,2246,Aqua,MODIS,68,6.1NRT,296.75,19.83,N
25.16414,52.89206,311.5,1.98,1.37,2022-05-03,2246,Aqua,MODIS,75,6.1NRT,296.94,23.2,N
25.16179,52.88456,318.7,1.98,1.37,2022-05-03,2246,Aqua,MODIS,97,6.1NRT,296.94,39.46,N
25.16072,52.87245,308.18,2.56,1.54,2022-05-04,1904,Terra,MODIS,59,6.1NRT,296.46,24.88,N
25.16215,52.87351,314.34,2.09,1.41,2022-05-15,0924,Aqua,MODIS,61,6.1NRT,296.35,23.76,D
25.1648,52.87907,320.13,1.08,1.04,2022-05-16,2214,Aqua,MODIS,100,6.1NRT,299.12,17.21,N
25.16626,52.87761,314.76,1,1,2022-05-17,1834,Terra,MODIS,86,6.1NRT,298.24,10.33,N
25.16417,52.88189,311.27,1.02,1.01,2022-05-18,0954,Aqua,MODIS,48,6.1NRT,300.22,6.13,D
25.15816,52.87543,313.58,2.91,1.63,2022-05-20,0629,Terra,MODIS,59,6.1NRT,302.46,42.25,D
25.16622,52.88169,321.04,1.15,1.07,2022-06-01,2212,Aqua,MODIS,100,6.1NRT,299.83,19.52,N
25.16394,52.87709,312.97,2.69,1.57,2022-06-02,0735,Terra,MODIS,56,6.1NRT,300.04,32.95,D
25.16676,52.88411,309.06,2.65,1.56,2022-06-02,2254,Aqua,MODIS,64,6.1NRT,297.45,27,N
25.16125,52.87769,308.5,2.65,1.56,2022-06-02,2254,Aqua,MODIS,61,6.1NRT,297.31,25.46,N
25.15966,52.88021,322.42,1.63,1.26,2022-06-04,0724,Terra,MODIS,75,6.1NRT,303.86,29.23,D
25.16441,52.87215,311.24,2.48,1.52,2022-06-06,1021,Aqua,MODIS,42,6.1NRT,300.84,21.19,D
25.16901,52.87337,311.04,1.88,1.34,2022-06-06,1809,Terra,MODIS,73,6.1NRT,299.71,15.08,N
25.1634,52.87896,323.26,1.08,1.04,2022-06-06,2229,Aqua,MODIS,100,6.1NRT,301.04,19.24,N
25.1603,52.88047,318.97,1.48,1.2,2022-06-08,1009,Aqua,MODIS,62,6.1NRT,302.8,18.86,D
25.15861,52.86592,319.39,1.48,1.2,2022-06-08,1009,Aqua,MODIS,63,6.1NRT,305.67,19.5,D
25.16606,52.87378,309.68,3.11,1.67,2022-06-08,1754,Terra,MODIS,67,6.1NRT,299.45,27.63,N
25.16389,52.88705,310.63,3.47,1.75,2022-06-09,0741,Terra,MODIS,41,6.1NRT,300.25,32.07,D
25.16882,52.8787,312.37,2.09,1.41,2022-06-11,0729,Terra,MODIS,42,6.1NRT,301.66,14.42,D
25.15961,52.85712,313.3,2.27,1.46,2022-06-12,0633,Terra,MODIS,58,6.1NRT,301.35,25.48,D
25.15746,52.87953,324.34,2.26,1.46,2022-06-12,0633,Terra,MODIS,77,6.1NRT,303.48,59.19,D
25.15673,52.86564,312.22,3.28,1.71,2022-06-12,1908,Terra,MODIS,78,6.1NRT,300.08,43.6,N
25.17164,52.88163,319.43,2.5,1.52,2022-06-12,2153,Aqua,MODIS,98,6.1NRT,301.09,52.35,N
25.16342,52.87547,315.36,2.5,1.52,2022-06-12,2153,Aqua,MODIS,88,6.1NRT,300.73,39.04,N
25.16406,52.8786,310.65,3.03,1.66,2022-06-13,1026,Aqua,MODIS,35,6.1NRT,299.98,27.57,D
25.16499,52.88124,314.18,1.47,1.2,2022-06-13,1813,Terra,MODIS,84,6.1NRT,301.57,14.96,N
25.1625,52.86691,312.38,1.48,1.2,2022-06-13,1813,Terra,MODIS,78,6.1NRT,301.35,12.51,N
25.16725,52.8782,312.69,1.96,1.37,2022-06-14,1858,Terra,MODIS,80,6.1NRT,299.41,20.47,N
25.16027,52.87398,321.27,1.78,1.31,2022-06-15,1013,Aqua,MODIS,73,6.1NRT,303.85,30.49,D
25.15951,52.87742,315.4,2.68,1.57,2022-06-16,0920,Aqua,MODIS,64,6.1NRT,303.44,36.03,D
25.15962,52.88061,318.41,1.02,1.01,2022-06-24,0659,Terra,MODIS,36,6.1NRT,305.85,8.55,D
25.16481,52.87519,305.99,2.82,1.6,2022-06-25,2257,Aqua,MODIS,36,6.1NRT,294.72,15.55,N
25.16001,52.87906,315.09,1.75,1.3,2022-07-05,0640,Terra,MODIS,63,6.1NRT,300.85,16.56,D
25.16319,52.87062,346.99,2.09,1.41,2022-07-13,0729,Terra,MODIS,94,6.1NRT,296.98,145.15,D
25.15925,52.89094,321.19,2.1,1.41,2022-07-13,0729,Terra,MODIS,74,6.1NRT,295.94,35.46,D
25.16459,52.86578,316.91,3.85,1.83,2022-07-13,1032,Aqua,MODIS,67,6.1NRT,291.92,78.35,D
25.15576,52.85867,317.54,3.85,1.83,2022-07-13,1032,Aqua,MODIS,68,6.1NRT,292.94,83.49,D
25.16453,52.86708,337.16,1.46,1.2,2022-07-13,2240,Aqua,MODIS,100,6.1NRT,303.06,58.53,N
25.16203,52.88132,336.18,1.47,1.2,2022-07-13,2240,Aqua,MODIS,100,6.1NRT,303.37,56.15,N
25.16526,52.86074,314.18,2.27,1.46,2022-07-14,0633,Terra,MODIS,60,6.1NRT,301.64,21.34,D
25.16314,52.88311,320.57,2.26,1.46,2022-07-14,0633,Terra,MODIS,73,6.1NRT,302.18,40.18,D
25.16595,52.87649,320.93,2.26,1.46,2022-07-14,0633,Terra,MODIS,59,6.1NRT,302.03,37.73,D
25.15897,52.87532,308.91,3.28,1.71,2022-07-14,1908,Terra,MODIS,63,6.1NRT,294.88,28.08,N
25.16035,52.86639,335.96,1.36,1.16,2022-07-17,1006,Aqua,MODIS,87,6.1NRT,303.6,44.02,D
25.14718,52.87203,319.37,1.15,1.07,2022-07-19,0652,Terra,MODIS,55,6.1NRT,306.99,11.41,D
25.15597,52.86821,308.5,4,1.86,2022-07-19,1749,Terra,MODIS,61,6.1NRT,298.12,28.63,N
25.16129,52.8622,309.25,4,1.86,2022-07-19,1749,Terra,MODIS,65,6.1NRT,298.15,31.7,N
25.16706,52.87514,318.82,1.63,1.26,2022-07-22,0722,Terra,MODIS,52,6.1NRT,300.67,15.29,D
25.15595,52.87266,321.23,1.63,1.26,2022-07-22,0722,Terra,MODIS,64,6.1NRT,302.7,19.85,D
25.15947,52.87695,314.29,2.73,1.58,2022-07-22,1024,Aqua,MODIS,55,6.1NRT,298.17,27.46,D
25.16432,52.86887,311.65,2.73,1.58,2022-07-22,1024,Aqua,MODIS,43,6.1NRT,297.62,19.89,D
25.15417,52.87062,313.52,2.99,1.64,2022-07-25,0917,Aqua,MODIS,56,6.1NRT,302.36,27.44,D
25.15608,52.86842,322.83,1.49,1.21,2022-07-30,0934,Aqua,MODIS,76,6.1NRT,301.16,21.17,D
25.15056,52.87471,312.93,1.92,1.35,2022-07-31,1017,Aqua,MODIS,29,6.1NRT,294.03,14.2,D
25.15392,52.86868,314.83,1.92,1.35,2022-07-31,1017,Aqua,MODIS,62,6.1NRT,294.47,19.26,D
25.14649,52.86978,324.38,1.2,1.09,2022-08-02,1004,Aqua,MODIS,36,6.1NRT,305.66,17.03,D
25.15769,52.8801,320.41,1.2,1.09,2022-08-02,1004,Aqua,MODIS,41,6.1NRT,300.3,11.95,D
25.15622,52.86829,325.79,1.2,1.09,2022-08-02,1004,Aqua,MODIS,72,6.1NRT,303.92,19.3,D
25.16492,52.87571,317.83,1.64,1.26,2022-08-07,0722,Terra,MODIS,60,6.1NRT,303.2,12.92,D
25.16216,52.88049,314.6,1.38,1.16,2022-08-13,0644,Terra,MODIS,34,6.1NRT,302.6,9.05,D
25.17057,52.87484,309.15,2.73,1.58,2022-08-13,2150,Aqua,MODIS,65,6.1NRT,287.62,27.81,N
25.15803,52.87597,312.7,2.78,1.59,2022-08-14,1024,Aqua,MODIS,55,6.1NRT,301.97,23.71,D
25.16019,52.87082,312.38,2.78,1.59,2022-08-14,1024,Aqua,MODIS,53,6.1NRT,301.86,22.45,D
25.16036,52.86616,315.43,1.75,1.3,2022-08-15,0930,Aqua,MODIS,37,6.1NRT,305.33,12.16,D
25.16088,52.87226,315.63,2.4,1.49,2022-08-18,1758,Terra,MODIS,89,6.1NRT,301.7,29.01,N
25.16076,52.8805,313.06,2.27,1.46,2022-08-20,2155,Aqua,MODIS,81,6.1NRT,302.82,18.98,N
25.16156,52.88507,328.33,1.3,1.13,2022-08-21,2237,Aqua,MODIS,100,6.1NRT,304.57,29.7,N
25.16709,52.87136,317.93,1.65,1.26,2022-08-23,0720,Terra,MODIS,60,6.1NRT,302.25,13.94,D
25.16416,52.88739,318.96,1.65,1.26,2022-08-23,0720,Terra,MODIS,65,6.1NRT,302.02,15.96,D
25.1523,52.86594,316.24,1.94,1.36,2022-08-23,1017,Aqua,MODIS,54,6.1NRT,304.48,18.94,D
25.15848,52.88252,314.18,2.9,1.62,2022-08-24,0625,Terra,MODIS,60,6.1NRT,300.25,30.29,D
25.15696,52.87663,314.94,2.9,1.62,2022-08-24,0625,Terra,MODIS,62,6.1NRT,300.47,33.81,D
25.16111,52.87633,311.58,2.56,1.54,2022-08-24,1900,Terra,MODIS,75,6.1NRT,298.74,21.68,N
25.16729,52.86918,310.52,2.56,1.54,2022-08-24,1900,Terra,MODIS,71,6.1NRT,298.96,18.35,N
